Region,Division,School_ID,School_Name,IndexScore
Region I,Dagupan City,102173,T. Ayson-Rosario ES,0.06
Region I,Dagupan City,102174,Calmay ES,0.06
Region I,Dagupan City,102175,Carael ES,0.06
Region I,Dagupan City,102176,Lomboy ES,0.1
Region I,Dagupan City,102179,Salapingao ES,0.11
Region I,Dagupan City,102180,Suit  Elementary school,0.08
Region II,Nueva Vizcaya,103980,Ambaguio CS,0.15
Region II,Nueva Vizcaya,103987,Cablahan Elementary School,0.25
Region II,Nueva Vizcaya,103988,DACLIG ELEMENTARY SCHOOL,0.14
Region II,Nueva Vizcaya,103992,Laylaya PS,0.17
Region II,Nueva Vizcaya,103995,Napo Elementary School,0.31
Region II,Nueva Vizcaya,103996,Pacdal ES,0.31
Region II,Nueva Vizcaya,103998,Salingsingan ES,0.19
Region II,Nueva Vizcaya,104024,Langka PS,0.13
Region II,Nueva Vizcaya,104025,Lurad ES,0.13
Region II,Nueva Vizcaya,104030,Pinya ES,0.16
Region II,Nueva Vizcaya,104040,Bulala Elementary School,0.11
Region II,Nueva Vizcaya,104041,Casecnan PS,0.24
Region II,Nueva Vizcaya,104043,Giayan ES,0.2
Region II,Nueva Vizcaya,104049,Mantatta PS,0.12
Region II,Nueva Vizcaya,104051,Nagakay ES,0.16
Region II,Nueva Vizcaya,104052,New Gumiad ES,0.2
Region II,Nueva Vizcaya,104055,Yabbi ES,0.23
Region II,Nueva Vizcaya,104056,Abaca ES,0.31
Region II,Nueva Vizcaya,104057,Banila ES,0.13
Region II,Nueva Vizcaya,104059,Canabay ES,0.12
Region II,Nueva Vizcaya,104060,Carolotan ES,0.17
Region II,Nueva Vizcaya,104061,Castro ES,0.32
Region II,Nueva Vizcaya,104063,Ecameging ES,0.22
Region II,Nueva Vizcaya,104065,Ganao Elementary School,0.26
Region II,Nueva Vizcaya,104067,Kinabuan ES,0.17
Region II,Nueva Vizcaya,104071,Sanguit ES,0.19
Region II,Nueva Vizcaya,104072,Talbec ES,0.28
Region II,Nueva Vizcaya,104076,Bilet ES,0.15
Region II,Nueva Vizcaya,104078,Biyoy ES,0.19
Region II,Nueva Vizcaya,104079,Bua Elementary School,0.22
Region II,Nueva Vizcaya,104080,Camamasi PS,0.2
Region II,Nueva Vizcaya,104082,Catarawan ES,0.2
Region II,Nueva Vizcaya,104084,Didipio ES,0.17
Region II,Nueva Vizcaya,104085,Dine ES,0.17
Region II,Nueva Vizcaya,104086,Domang ES,0.11
Region II,Nueva Vizcaya,104087,Kakiduguen Elementary School,0.34
Region II,Nueva Vizcaya,104093,Makiboy ES,0.16
Region II,Nueva Vizcaya,104095,Muta ES,0.2
Region II,Nueva Vizcaya,104097,Pao Elementary School,0.15
Region II,Nueva Vizcaya,104098,Papalungan ES,0.15
